"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"358","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 01:05:21,FALSE,NA,"855225912366743552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeannjeannnn",351,TRUE,FALSE,NA,NA
"359","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 01:00:14,FALSE,NA,"855224625717854208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kayylanrose",351,TRUE,FALSE,NA,NA
"360","I love perks of being a wallflower bc I am literally Charlie",FALSE,0,NA,2017-04-21 00:57:00,FALSE,NA,"855223810630586368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meganistubular",0,FALSE,FALSE,NA,NA
"361","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:56:51,FALSE,NA,"855223774467117056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riiennv",351,TRUE,FALSE,NA,NA
"362","the perks of being a wallflower, 2012
dir. stephen chbosky https://t.co/St8EUjx3Vy",FALSE,0,"suprenaturaI",2017-04-21 00:56:08,FALSE,"840777016811085824","855223592732282881","597710852","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suprenaturaI",0,FALSE,FALSE,NA,NA
"363","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:56:08,FALSE,NA,"855223591964733440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krtwgner",351,TRUE,FALSE,NA,NA
"364","I can't stop thinking about Patricia asking if the perks of being a wallflower is a good movie.. like where was she in 2010??!",FALSE,0,NA,2017-04-21 00:55:52,FALSE,NA,"855223525736689670",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hallieluvsbacon",0,FALSE,FALSE,NA,NA
"365","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 00:54:01,FALSE,NA,"855223059875155970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geo7gearias",351,TRUE,FALSE,NA,NA
"366","Today I met someone who didn't like The Perks of being a Wallflower. I'd felt a huge urge to flip them the bird. In the face.",FALSE,0,NA,2017-04-21 00:52:36,FALSE,NA,"855222702331875328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CesarHn95",0,FALSE,FALSE,NA,NA
"367","RT @fiImart: “Things change. And friends leave. Life doesn't stop for anybody.” 

The Perks of Being a Wallflower (2012) https://t.co/Xbewe…",FALSE,0,NA,2017-04-21 00:51:36,FALSE,NA,"855222453769048065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maddie_hallman3",799,TRUE,FALSE,NA,NA
